code,animal_proportion,fao_subgroup_code,has_fish,has_meat_or_poultry,has_seafood,name,ep_phd_poultry,ep_phd_dairy,ep_phd_nuts,ep_phd_fruits,ep_phd_eggs,ep_phd_vegetables,ep_phd_animal_fats,ep_phd_plant_oils_saturated,ep_phd_meat,ep_phd_tubers_roots,ep_phd_refined_grains,ep_phd_none,ep_phd_plant_oils_unsaturated,ep_phd_legumes,ep_phd_sugar,ep_phd_whole_grains,ep_phd_fish,ep_phd_alcohol
F033129,1.0,402,False,False,False,"Jogurtti, lohkeava luonnonjogurtti, rasvaa 5,5 %, laktoositon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033130,0.0,303,False,False,False,"Pähkinä, cashewpähkinä, suolattu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033131,0.0,303,False,False,False,"Pähkinä, pistaasipähkinä, suolattu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033137,0.0,302,False,False,False,"Soijajuoma, alpro kevyt suklaajuoma, kalsiumia ja vitamiineja",,,,,,,,,,,,,,,,,,0.0
F033138,0.0,302,False,False,False,"Soijajuoma, alpro suklaa, kalsiumia ja vitamiineja",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0,0.0,0.0
F033141,1.0,402,False,False,False,"Jogurtti, kerrosjogurtti, valio, rasvaa 2 %, vl, d-vitamiinia 0,9 ug",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033145,0.0,103,False,False,False,"Muro, vehnähiutale, kellogg's all-bran regular, vitaminoitu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033147,0.65,402,False,False,False,"Rahka, marja-hedelmä, danonino, rasvaa 2,9 %, d-vitamiinia 1,25 ug",,,,,,,,,,,,,,,,,,0.0
F033150,0.6,402,False,False,False,"Jogurtti, lohkeava, maustettu, rasvaa 4,6 %, laktoositon",,,,,,,,,,,,,,,,,,0.0
F033151,0.0,1301,False,False,False,"Merisuola, jodioimaton",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
F033154,1.0,601,True,False,False,"Kala, tuoresuolattu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033162,1.0,402,False,False,False,"Jogurtti, maustamaton, rasvaa 2,5 %",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
